crypto,nft
79672349.24,
79238967.88,
79150110.72,
78840776.07,
78878027.74,
78298057.23,
77059106.13,
77027074.92,
75477762.19,
75259561.08,
74763785.92,
74662565.33,
74122846.97,
73975504.99,
73858248.73,
73879966,
73007712.54,
72974925.22,
72739471.24,
71820459.55,
71232745.03,
71080985.41,
70943115.58,
70888516.29,
70692519.62,
70128701.36,
69998308.74,
69748726.59,
69276217.12,
68929195.17,
68860739.75,
68008082.23,
68000026.9,
67851294.88,
67693383.85,
67598832.17,
67430436.51,
67001244.96,
66815024.17,
66491921.73,
66443054.08,
66494423.89,
66360899.69,
66381050.27,
66272117.32,
66136140.4,
66220723.54,
65824154.54,
65637748.11,
65531953.59,
65223419.77,
64260645.75,
64219909.69,
64024978.71,
63911090.7,
63847617.36,
63365188.44,
63190070.34,
63070810.14,
62704639.85,
62276386.03,
61936749.59,
62018786.39,
61542780.54,
61333924.1,
60947487.99,
60929659.48,
60658840.5,
60528265.1,
60286238.45,
59549554.89,
59353801.95,
59062744.71,
58757251.74,
58549150.89,
58183936.27,
57580659.08,
57365204.31,
57097067.94,
56295737.14,
55809897.69,
55423002.36,
55498625.02,
55293913.37,
54806763.61,
54688500.03,
54632442.77,
54390698.1,
53111457.53,
53041725.45,
52996930.84,
52299356.03,
52281194.05,
51521602.93,
50466792,
50197664.14,
49744687.08,
49664391.97,
49595150.62,
49616645.87,
49495001.34,
49288423.48,
48980091.03,
48911423.12,
48600408.61,
48153000.58,
48004966.53,
47782165.65,
47773531.38,
47348394.59,
47425239.01,
46901278.88,
46234803.26,
46021665.8,
45751656.06,
46991860.17,
45835413.71,
45732818.67,
45601542.7,
45223340.32,
44752601.61,
44586447.48,
43866017.16,
43756319.05,
43713170.42,
43466289.34,
43011722.86,
43039303.6,
42985592.85,
42981137.27,
42701964.58,
42362903.78,
42227819.32,
42015497.31,
42118554.44,
41853512.7,
41547530.85,
42763586.38,
41131423.97,
41109240.81,
40758914.4,
40472090.11,
40462113.72,
40270171.42,
40207495.62,
40113768.2,
39999102.74,
39976425.79,
39625589.38,
39801097.17,
39695933.55,
39590384.58,
39324383.52,
39143391,
39006390.56,
38918704.12,
38991133.64,
38568577.22,
38897220.34,
38530300.5,
38522757.33,
38523556.74,
38192673.59,
38198820.3,
37956034.31,
37929836.58,
37687394.53,
36957521.18,
36923186.46,
36275954.97,
36780104.83,
36665745.02,
36636259.54,
36413233.4,
36522998.65,
36274117.87,
36179392.21,
35935116.13,
35757730.59,
35661354.43,
35618181.28,
35484332.84,
35377777.53,
35200324.77,
35085815.18,
34841935.39,
34819893.02,
34708762.82,
34931323.58,
34296134.19,
34137227.43,
34105651.71,
33745394.11,
33741239.68,
33464041.54,
33489692.73,
33532901.13,
33436712.56,
32940437.61,
32747442.43,
32664640.8,
32587545,
32344948.5,
32379539.81,
32251726.18,
32280086.4,
32262219.48,
31542735.91,
31278055.55,
31239019.58,
31224254.64,
31220645.12,
31082980.93,
30995982.09,
30739679.46,
30666866.46,
30466880.33,
30284938.44,
30275171.93,
30142619.7,
30023194.13,
29889853.36,
29672708.55,
29650743.17,
29327967.23,
29300544.21,
29153691.95,
29149757.5,
28883006.04,
28811680.25,
28688638.53,
28591828.94,
28575779.37,
28459607.98,
28488667.92,
28397131.66,
28219058.37,
28208506.36,
28087318.7,
28008605.32,
27997090.76,
28438593.82,
27921926.14,
27838941.85,
27739595.14,
27728583.95,
27555327.43,
27304877.92,
27179649.73,
27070291.04,
26987384.94,
26714870.27,
26692238.31,
26718428.68,
26661495.53,
26591391.89,
26586514.07,
26265602.51,
26248736.39,
26107842.47,
26196874.56,
26034084.31,
25974512.04,
25995311.93,
25957607.4,
25940245.75,
25950768.19,
25897223.95,
25712030.58,
25631730.64,
25528481.99,
25327526.27,
25244130.75,
25127553,
25103024.28,
25086575.59,
25046886.94,
25004361.27,
24853700.09,
24724550.47,
24587814.92,
24603649.25,
24503390.82,
24399780.07,
24341178.18,
24327572,
24052626.65,
24024942.2,
23935647.84,
23675701.62,
23662997.81,
23663294.75,
23403893.44,
23248998.8,
23173924.1,
23150071.7,
23132499.56,
23014134.31,
22948766.29,
22809483.2,
22734387.71,
22649764.94,
22478886.25,
22401257.25,
22355634.59,
22335360.68,
22196949.86,
22152296.93,
22081896.85,
22034456.57,
21919608.34,
21901029.17,
21844876.13,
21833308.55,
21820697.46,
21718646.14,
21603438.15,
21607854.93,
21786270.3,
21431156.82,
21378422.2,
21256537.7,
21216357.51,
21151595.87,
21126121.89,
21032427.74,
20902316.5,
20539796.22,
20461926.54,
20443176.47,
20430446.98,
20426140.58,
20407096.62,
20392804.16,
20339067.05,
20282368.17,
20248867.19,
20224512.09,
20161544.11,
20080424,
19948259.19,
19999488.27,
19918559.49,
19904855.95,
19795501.89,
19593451.57,
19585657.89,
19461625.92,
19399057.4,
19267997.26,
19263772.43,
19232293.26,
19219754.9,
19210949.77,
19087353.28,
18991406.32,
18984707.83,
18938692.87,
18973232.66,
18942116.25,
18853142.86,
18845808.49,
18711384.94,
18707472.08,
18703555.62,
18628230.19,
18756647.8,
18554316.64,
18518686.19,
18480508,
18442404.15,
18422452.07,
18301494.27,
18286613.64,
18221784.03,
18191686.76,
18142204.18,
18066564.23,
18034402.54,
18025955.07,
17949454.73,
18029264.54,
17927117.77,
17794009.36,
17781528.49,
17704948.02,
17635537.78,
17637316.52,
17417243.81,
17340821.27,
17334736.58,
17287712.33,
17277799.31,
17246854.14,
17177397.92,
17139360.92,
16944913.84,
16786315.64,
16776642.15,
16604579.29,
16545774.72,
16528485.72,
16533377.36,
16420259.62,
16368159.45,
16361318.15,
16247249.75,
16228028.01,
16118660.06,
16058282.29,
15970622.99,
15962220.04,
15868822.99,
15864763.33,
15787627.07,
15805707.93,
15822113.95,
15769505.19,
15747701.26,
15692051.74,
15607280.92,
15613183.31,
15603805.79,
15591967.77,
15524962.49,
15516810.42,
15387439.83,
15365159.24,
15264295.08,
15190798.54,
14914955.01,
14862505.51,
14845364.86,
14813610.51,
14710080.91,
14620503.86,
14486537.26,
14440677.44,
14334307.59,
14338925.48,
14327908.92,
14317156.85,
14299118.85,
14330235.1,
14232083.21,
14134769.14,
14137465.5,
14029059.5,
14000536.59,
13979633.71,
13909570.52,
13880893.34,
